fen,result
"r3kb1r/ppp1ppp1/2n1bn1p/8/2P5/4PQ1P/PP1P1PP1/R1B1KB1R w KQkq - 1 8",0
"r3kb1r/ppp1ppp1/2n1bQ1p/8/2P5/4P2P/PP1P1PP1/R1B1KB1R b KQkq - 0 8",0
"r3kb1r/ppp2pp1/2n1bp1p/8/2P5/4P2P/PP1P1PP1/R1B1KB1R w KQkq - 0 9",0
"r3kb1r/ppp2pp1/2n1bp1p/8/2P5/4PP1P/PP1P2P1/R1B1KB1R b KQkq - 0 9",0
"r3kb1r/ppp2pp1/2n2p1p/8/2b5/4PP1P/PP1P2P1/R1B1KB1R w KQkq - 0 10",0
"r3kb1r/ppp2pp1/2n2p1p/8/2B5/4PP1P/PP1P2P1/R1B1K2R b KQkq - 0 10",0
"r3k2r/ppp2pp1/2n2p1p/2b5/2B5/4PP1P/PP1P2P1/R1B1K2R w KQkq - 1 11",0
"r3k2r/ppp2Bp1/2n2p1p/2b5/8/4PP1P/PP1P2P1/R1B1K2R b KQkq - 0 11",0
"r4k1r/ppp2Bp1/2n2p1p/2b5/8/4PP1P/PP1P2P1/R1B1K2R w KQ - 1 12",0
"r4k1r/ppp2Bp1/2n2p1p/2b5/3P4/4PP1P/PP4P1/R1B1K2R b KQ d3 0 12",0
"1r3k1r/ppp2Bp1/2n2p1p/2b5/3P4/4PP1P/PP4P1/R1B1K2R w KQ - 1 13",0
"1r3k1r/ppp3p1/2n2p1p/2b5/3P4/1B2PP1P/PP4P1/R1B1K2R b KQ - 2 13",0
"1r3k1r/ppp3p1/5p1p/2b5/3n4/1B2PP1P/PP4P1/R1B1K2R w KQ - 0 14",0
"1r3k1r/ppp3p1/5p1p/2b5/3P4/1B3P1P/PP4P1/R1B1K2R b KQ - 0 14",0
"1r3k1r/p1p3p1/1p3p1p/2b5/3P4/1B3P1P/PP4P1/R1B1K2R w KQ - 0 15",0
"1r3k1r/p1p3p1/1p3p1p/2P5/8/1B3P1P/PP4P1/R1B1K2R b KQ - 0 15",0
"1r3k1r/p1p3p1/5p1p/2p5/8/1B3P1P/PP4P1/R1B1K2R w KQ - 0 16",0
"1r3k1r/p1p3p1/5p1B/2p5/8/1B3P1P/PP4P1/R3K2R b KQ - 0 16",0
"1r3k1r/2p3p1/5p1B/p1p5/8/1B3P1P/PP4P1/R3K2R w KQ a6 0 17",0
